Date,Location,Lemon,Orange,Temperature,Leaflets,Price,Total ,Revenue
7/1/16,Park,97,67,70,90, $0.25 ,164, $41.00 
7/2/16,Park,98,67,72,90, $0.25 ,165, $41.25 
7/3/16,Park,110,77,71,104, $0.25 ,187, $46.75 
7/4/16,Beach,134,99,76,98, $0.25 ,233, $58.25 
7/5/16,Beach,159,118,78,135, $0.25 ,277, $69.25 
7/6/16,Beach,103,69,82,90, $0.25 ,172, $43.00 
7/7/16,Beach,143,101,81,135, $0.25 ,244, $61.00 
7/8/16,Beach,123,86,82,113, $0.25 ,209, $52.25 
7/9/16,Beach,134,95,80,126, $0.25 ,229, $57.25 
7/10/16,Beach,140,98,82,131, $0.25 ,238, $59.50 
7/11/16,Beach,162,120,83,135, $0.25 ,282, $70.50 
7/12/16,Beach,130,95,84,99, $0.25 ,225, $56.25 
7/13/16,Beach,109,75,77,99, $0.25 ,184, $46.00 
7/14/16,Beach,122,85,78,113, $0.25 ,207, $51.75 
7/15/16,Beach,98,62,75,108, $0.50 ,160, $80.00 
7/16/16,Beach,81,50,74,90, $0.50 ,131, $65.50 
7/17/16,Beach,115,76,77,126, $0.50 ,191, $95.50 
7/18/16,Park,131,92,81,122, $0.50 ,223, $111.50 
7/19/16,Park,122,85,78,113, $0.50 ,207, $103.50 
7/20/16,Park,71,42,70,102, $0.50 ,113, $56.50 
7/21/16,Park,83,50,77,90, $0.50 ,133, $66.50 
7/22/16,Park,112,75,80,108, $0.50 ,187, $93.50 
7/23/16,Park,120,82,81,117, $0.50 ,202, $101.00 
7/24/16,Park,121,82,82,117, $0.50 ,203, $101.50 
7/25/16,Park,156,113,84,135, $0.50 ,269, $134.50 
7/26/16,Park,176,129,83,158, $0.35 ,305, $106.75 
7/27/16,Park,104,68,80,99, $0.35 ,172, $60.20 
7/28/16,Park,96,63,82,90, $0.35 ,159, $55.65 
7/29/16,Park,100,66,81,95, $0.35 ,166, $58.10 
7/30/16,Beach,88,57,82,81, $0.35 ,145, $50.75 
7/31/16,Beach,76,47,82,68, $0.35 ,123, $43.05 
,,,,,3377,,,2138
,,,,,105.53125,,,
